date	ouv	haut	bas	clot	vol	devise	
23/08/2001 00:00	4.995	4.995	4.995	4.995	0		
24/08/2001 00:00	4.989	4.989	4.989	4.989	0		
28/08/2001 00:00	5.026	5.026	5.026	5.026	0		
29/08/2001 00:00	4.975	4.975	4.975	4.975	0		
30/08/2001 00:00	4.963	4.963	4.963	4.963	0		
31/08/2001 00:00	4.925	4.925	4.925	4.925	0		
04/09/2001 00:00	4.9	4.9	4.9	4.9	0		
05/09/2001 00:00	5.082	5.082	5.082	5.082	0		
07/09/2001 00:00	4.952	4.952	4.952	4.952	0		
10/09/2001 00:00	4.898	4.898	4.898	4.898	0		
11/09/2001 00:00	4.972	4.972	4.972	4.972	0		
12/09/2001 00:00	4.848	4.848	4.848	4.848	0		
13/09/2001 00:00	4.983	4.983	4.983	4.983	0		
14/09/2001 00:00	4.871	4.871	4.871	4.871	0		
17/09/2001 00:00	4.9	4.9	4.9	4.9	0		
18/09/2001 00:00	4.899	4.899	4.899	4.899	0		
19/09/2001 00:00	4.957	4.957	4.957	4.957	0		
20/09/2001 00:00	4.969	4.969	4.969	4.969	0		
24/09/2001 00:00	4.993	4.993	4.993	4.993	0		
25/09/2001 00:00	5.014	5.014	5.014	5.014	0		
26/09/2001 00:00	4.991	4.991	4.991	4.991	0		
27/09/2001 00:00	4.947	4.947	4.947	4.947	0		
28/09/2001 00:00	4.86	4.86	4.86	4.86	0		
01/10/2001 00:00	4.935	4.935	4.935	4.935	0		
02/10/2001 00:00	4.915	4.915	4.915	4.915	0		
05/10/2001 00:00	4.767	4.767	4.767	4.767	0		
08/10/2001 00:00	4.742	4.742	4.742	4.742	0		
10/10/2001 00:00	4.847	4.847	4.847	4.847	0		
11/10/2001 00:00	4.819	4.819	4.819	4.819	0		
12/10/2001 00:00	4.819	4.819	4.819	4.819	0		
15/10/2001 00:00	4.794	4.794	4.794	4.794	0		
17/10/2001 00:00	4.78	4.78	4.78	4.78	0		
18/10/2001 00:00	4.774	4.774	4.774	4.774	0		
19/10/2001 00:00	4.71	4.71	4.71	4.71	0		
23/10/2001 00:00	4.716	4.716	4.716	4.716	0		
24/10/2001 00:00	4.68	4.68	4.68	4.68	0		
25/10/2001 00:00	4.678	4.678	4.678	4.678	0		
26/10/2001 00:00	4.61	4.61	4.61	4.61	0		
29/10/2001 00:00	4.561	4.561	4.561	4.561	0		
30/10/2001 00:00	4.543	4.543	4.543	4.543	0		
31/10/2001 00:00	4.511	4.511	4.511	4.511	0		
02/11/2001 00:00	4.443	4.443	4.443	4.443	0		
05/11/2001 00:00	4.414	4.414	4.414	4.414	0		
06/11/2001 00:00	4.44	4.44	4.44	4.44	0		
07/11/2001 00:00	4.376	4.376	4.376	4.376	0		
08/11/2001 00:00	4.35	4.35	4.35	4.35	0		
09/11/2001 00:00	4.385	4.385	4.385	4.385	0		
12/11/2001 00:00	4.482	4.482	4.482	4.482	0		
13/11/2001 00:00	4.503	4.503	4.503	4.503	0		
14/11/2001 00:00	4.595	4.595	4.595	4.595	0		
15/11/2001 00:00	4.587	4.587	4.587	4.587	0		
16/11/2001 00:00	4.69	4.69	4.69	4.69	0		
19/11/2001 00:00	4.771	4.771	4.771	4.771	0		
20/11/2001 00:00	4.685	4.685	4.685	4.685	0		
21/11/2001 00:00	4.74	4.74	4.74	4.74	0		
22/11/2001 00:00	4.817	4.817	4.817	4.817	0		
23/11/2001 00:00	4.683	4.683	4.683	4.683	0		
26/11/2001 00:00	4.721	4.721	4.721	4.721	0		
27/11/2001 00:00	4.766	4.766	4.766	4.766	0		
28/11/2001 00:00	4.783	4.783	4.783	4.783	0		
29/11/2001 00:00	4.777	4.777	4.777	4.777	0		
30/11/2001 00:00	4.713	4.713	4.713	4.713	0		
03/12/2001 00:00	4.645	4.645	4.645	4.645	0		
04/12/2001 00:00	4.657	4.657	4.657	4.657	0		
05/12/2001 00:00	4.739	4.739	4.739	4.739	0		
06/12/2001 00:00	4.874	4.874	4.874	4.874	0		
07/12/2001 00:00	4.917	4.917	4.917	4.917	0		
10/12/2001 00:00	4.891	4.891	4.891	4.891	0		
11/12/2001 00:00	4.938	4.938	4.938	4.938	0		
12/12/2001 00:00	4.848	4.848	4.848	4.848	0		
13/12/2001 00:00	4.829	4.829	4.829	4.829	0		
14/12/2001 00:00	4.91	4.91	4.91	4.91	0		
17/12/2001 00:00	4.88	4.88	4.88	4.88	0		
18/12/2001 00:00	4.956	4.956	4.956	4.956	0		
19/12/2001 00:00	4.854	4.854	4.854	4.854	0		
